Query_number,doc_number
174249,474777
174249,93644
174249,82332
174249,443059
174249,116881
174249,54105
174249,456516
174249,17747
174249,436393
174249,398595
320792,366436
320792,179837
320792,262045
320792,395743
320792,352138
320792,341432
320792,246395
320792,329416
320792,349282
320792,127302
1090270,448415
1090270,225421
1090270,298622
1090270,452799
1090270,42812
1090270,413221
1090270,156073
1090270,345849
1090270,265754
1090270,312750
1101279,1228
1101279,66449
1101279,490933
1101279,375765
1101279,231387
1101279,337087
1101279,226578
1101279,131742
1101279,240396
1101279,343052
201376,418950
201376,273856
201376,165805
201376,26121
201376,462280
201376,380243
201376,12383
201376,335633
201376,26810
201376,238792
54544,277314
54544,341513
54544,52880
54544,186720
54544,158845
54544,383106
54544,293476
54544,374942
54544,481290
54544,193658
118457,183462
118457,186197
118457,17152
118457,457327
118457,457754
118457,228019
118457,304305
118457,275497
118457,79890
118457,1658
178627,367941
178627,285673
178627,50466
178627,451447
178627,27520
178627,30831
178627,482176
178627,239947
178627,377618
178627,53930
1101278,6739
1101278,384219
1101278,420548
1101278,442178
1101278,50419
1101278,350335
1101278,441777
1101278,170327
1101278,289097
1101278,224504
68095,58071
68095,373931
68095,165388
68095,69825
68095,217943
68095,473567
68095,491458
68095,380553
68095,164816
68095,472210
87892,176754
87892,224024
87892,339609
87892,482079
87892,474856
87892,420440
87892,330104
87892,317949
87892,263638
87892,403112
257309,360137
257309,292295
257309,89888
257309,207386
257309,227058
257309,421813
257309,308294
257309,84916
257309,476462
257309,222169
1090242,147652
1090242,340037
1090242,500552
1090242,196499
1090242,193652
1090242,253279
1090242,378152
1090242,143004
1090242,204122
1090242,92915
211691,112475
211691,205201
211691,31940
211691,155184
211691,417341
211691,77088
211691,486840
211691,227868
211691,455919
211691,147847
165002,445822
165002,159085
165002,50962
165002,415837
165002,345012
165002,180208
165002,331450
165002,250117
165002,58117
165002,284034
1101276,381863
1101276,41827
1101276,499368
1101276,117515
1101276,221686
1101276,335336
1101276,297420
1101276,48256
1101276,183765
1101276,178724
264827,481349
264827,38130
264827,256189
264827,433503
264827,144814
264827,231158
264827,6703
264827,121113
264827,341329
264827,344649
342285,489305
342285,469162
342285,128165
342285,215071
342285,252769
342285,71251
342285,17829
342285,262900
342285,30503
342285,281949
372586,469774
372586,200054
372586,93074
372586,207635
372586,277726
372586,7677
372586,420814
372586,358169
372586,296506
372586,421747
89786,254236
89786,41015
89786,305695
89786,368836
89786,396869
89786,265892
89786,265362
89786,112918
89786,351378
89786,79509
118448,8051
118448,264951
118448,68712
118448,350529
118448,87059
118448,52972
118448,375776
118448,171345
118448,247894
118448,272792
92542,181071
92542,436863
92542,495237
92542,279521
92542,253748
92542,130422
92542,203970
92542,458991
92542,471092
92542,79361
206117,406411
206117,375210
206117,166765
206117,136310
206117,444878
206117,50994
206117,470408
206117,446212
206117,369353
206117,495416
141472,266847
141472,464688
141472,459198
141472,485411
141472,273585
141472,241321
141472,370891
141472,104458
141472,13217
141472,257098
196232,150110
196232,276935
196232,139798
196232,20982
196232,46119
196232,230873
196232,104957
196232,186502
196232,393366
196232,26306
352818,14280
352818,350102
352818,487604
352818,478709
352818,181384
352818,405652
352818,151315
352818,448332
352818,285375
352818,30385
208145,590
208145,273379
208145,417435
208145,5681
208145,494891
208145,89213
208145,381730
208145,46746
208145,414483
208145,190528
79891,214001
79891,127467
79891,411511
79891,390539
79891,322277
79891,73484
79891,179255
79891,400467
79891,381565
79891,108263
208494,374359
208494,444182
208494,30113
208494,111379
208494,133667
208494,498159
208494,363161
208494,293664
208494,439560
208494,467279
319564,77011
319564,23699
319564,392907
319564,84200
319564,237123
319564,27185
319564,409224
319564,112682
319564,31159
319564,160724
155234,320321
155234,198431
155234,142073
155234,383911
155234,209085
155234,85685
155234,393960
155234,371004
155234,165252
155234,425573
14151,276037
14151,203672
14151,60291
14151,93857
14151,47168
14151,280325
14151,138524
14151,369141
14151,305035
14151,388290
67802,170424
67802,42861
67802,259026
67802,61501
67802,207180
67802,357913
67802,274318
67802,446429
67802,100899
67802,311969
1090184,422928
1090184,147829
1090184,78935
1090184,228594
1090184,273590
1090184,334088
1090184,284699
1090184,366836
1090184,323072
1090184,486914
323382,301535
323382,141904
323382,244775
323382,459713
323382,462330
323382,250816
323382,397694
323382,281228
323382,425353
323382,116793
323998,449472
323998,302666
323998,39340
323998,162837
323998,220325
323998,330159
323998,277045
323998,60634
323998,361653
323998,214813
289812,225906
289812,330657
289812,129649
289812,62873
289812,110195
289812,305204
289812,425852
289812,488013
289812,178961
289812,331285
333486,421399
333486,406009
333486,494326
333486,300181
333486,161944
333486,179409
333486,386521
333486,136231
333486,383852
333486,191270
1090171,368686
1090171,75759
1090171,202383
1090171,478788
1090171,387924
1090171,410902
1090171,405488
1090171,433
1090171,137501
1090171,7325
73257,122861
73257,19217
73257,334659
73257,437940
73257,448949
73257,112174
73257,209025
73257,497020
73257,242776
73257,361084
1090170,30135
1090170,395821
1090170,197014
1090170,99098
1090170,193370
1090170,55825
1090170,421276
1090170,155766
1090170,237253
1090170,308656
127876,368827
127876,37020
127876,381622
127876,246640
127876,120478
127876,361980
127876,225485
127876,9069
127876,215639
127876,278548
1090165,212279
1090165,465050
1090165,425708
1090165,244028
1090165,431034
1090165,323919
1090165,217589
1090165,450362
1090165,418934
1090165,479998
259417,184130
259417,29527
259417,227774
259417,97170
259417,115109
259417,440690
259417,486749
259417,6565
259417,446155
259417,256789
1101271,241375
1101271,206502
1101271,387174
1101271,72311
1101271,80391
1101271,30852
1101271,175625
1101271,86222
1101271,421887
1101271,188959
205107,30230
205107,457336
205107,423727
205107,86059
205107,358662
205107,383591
205107,11828
205107,348382
205107,470299
205107,26646
307118,314592
307118,218741
307118,406171
307118,366150
307118,199663
307118,409615
307118,288642
307118,8118
307118,251627
307118,182902
335710,12012
335710,81423
335710,426421
335710,20781
335710,176111
335710,346859
335710,293394
335710,90044
335710,119596
335710,485885
127984,349030
127984,311904
127984,380716
127984,113677
127984,163756
127984,128816
127984,25076
127984,267776
127984,286049
127984,413641
1090151,328323
1090151,193697
1090151,425607
1090151,172954
1090151,368642
1090151,416380
1090151,211868
1090151,339104
1090151,482903
1090151,123890
1090146,192682
1090146,335291
1090146,380507
1090146,55245
1090146,339783
1090146,56279
1090146,230708
1090146,196090
1090146,438450
1090146,254171
1090132,188284
1090132,284870
1090132,144221
1090132,211167
1090132,417191
1090132,278548
1090132,9069
1090132,332053
1090132,386719
1090132,236124
1090115,14414
1090115,79938
1090115,216059
1090115,482606
1090115,191972
1090115,143565
1090115,463869
1090115,193703
1090115,245319
1090115,194329
1090110,249962
1090110,113419
1090110,398321
1090110,295384
1090110,333471
1090110,204229
1090110,112755
1090110,483767
1090110,208213
1090110,85239
1090107,428791
1090107,44167
1090107,470581
1090107,418697
1090107,113622
1090107,268293
1090107,208852
1090107,485126
1090107,380598
1090107,107998
1090086,70162
1090086,115099
1090086,183911
1090086,84986
